w_base,alpha,tau,delta,f1_elitism,f2_excitement,f3_disaster
0.7,0.05,0.2,1,0.5378797080491332,0.7490406753645433,0.058823529411764705
0.7,0.05,0.2,2,0.5110008304883547,0.7459708365310821,0.029411764705882353
0.7,0.05,0.25,0,0.6082886537474337,0.758250191864927,0.029411764705882353
0.7,0.05,0.25,1,0.5378797080491332,0.7490406753645433,0.058823529411764705
0.7,0.05,0.25,2,0.5110008304883547,0.7459708365310821,0.029411764705882353
0.7,0.05,0.3,0,0.6082886537474337,0.758250191864927,0.029411764705882353
0.7,0.05,0.3,1,0.5378797080491332,0.7490406753645433,0.058823529411764705
0.7,0.05,0.3,2,0.5110008304883547,0.7459708365310821,0.029411764705882353
0.7,0.1,0.2,0,0.5995264407277459,0.758250191864927,0.029411764705882353
0.7,0.1,0.2,1,0.5285214192790797,0.7490406753645433,0.058823529411764705
0.7,0.1,0.2,2,0.5110008304883547,0.7459708365310821,0.029411764705882353
0.7,0.1,0.25,0,0.5995264407277459,0.758250191864927,0.029411764705882353
0.7,0.1,0.25,1,0.5285214192790797,0.7490406753645433,0.058823529411764705
0.7,0.1,0.25,2,0.5110008304883547,0.7459708365310821,0.029411764705882353
0.7,0.1,0.3,0,0.5995264407277459,0.758250191864927,0.029411764705882353
0.7,0.1,0.3,1,0.5285214192790797,0.7490406753645433,0.058823529411764705
0.7,0.1,0.3,2,0.5110008304883547,0.7459708365310821,0.029411764705882353
0.7,0.15,0.2,0,0.5975636068922298,0.7590176515732924,0.029411764705882353
0.7,0.15,0.2,1,0.5219470248154119,0.7490406753645433,0.058823529411764705
0.7,0.15,0.2,2,0.506678924656125,0.7459708365310821,0.029411764705882353
0.7,0.15,0.25,0,0.5975636068922298,0.7590176515732924,0.029411764705882353
0.7,0.15,0.25,1,0.5219470248154119,0.7490406753645433,0.058823529411764705
0.7,0.15,0.25,2,0.506678924656125,0.7459708365310821,0.029411764705882353
0.7,0.15,0.3,0,0.5975636068922298,0.7590176515732924,0.029411764705882353
0.7,0.15,0.3,1,0.5219470248154119,0.7490406753645433,0.058823529411764705
